symbol,sector,trading_days,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb,avg_daily_net_mb,period_top_buy_day,period_top_buy_net_mb,period_top_sell_day,period_top_sell_net_mb
PTTEP,Energy,72,"81,330.28","58,285.79","139,616.03","23,044.48",320.06,2026-03-19,"1,681.32",2026-03-02,"-1,046.91"
PTT,Energy,72,"101,391.55","87,389.55","188,781.08","14,001.96",194.47,2026-02-05,"1,601.62",2026-03-02,"-1,022.48"
BBL,Banking,72,"44,653.34","39,962.01","84,615.35","4,691.30",65.16,2026-02-20,"1,897.97",2026-01-21,"-1,147.45"
CPALL,Commerce,72,"42,226.66","37,993.04","80,219.73","4,233.55",58.80,2026-02-24,"1,078.56",2026-03-05,-649.50
TOP,Energy,72,"24,725.28","20,568.11","45,293.46","4,157.20",57.74,2026-01-06,483.29,2026-03-13,-244.93
BCP,Energy,72,"9,728.81","6,252.56","15,981.32","3,476.25",48.28,2026-02-12,370.98,2026-03-09,-75.73
KKP,Banking,72,"12,631.98","9,607.44","22,239.32","3,024.54",42.01,2026-04-01,434.93,2026-02-25,-124.25
SCC,Conmat,72,"26,615.59","23,822.35","50,437.93","2,793.30",38.80,2026-04-16,"1,344.31",2026-02-26,-264.21
DELTA,Etron,72,"113,516.04","111,040.36","224,556.40","2,475.75",34.39,2026-04-09,"2,713.60",2026-01-08,"-2,276.30"
TTB,Banking,72,"21,836.42","19,609.73","41,446.15","2,226.73",30.93,2026-02-20,423.06,2026-04-17,-270.60
PTTGC,Petro,72,"20,870.07","18,695.96","39,565.97","2,174.11",30.20,2026-04-01,504.42,2026-04-17,-202.15
TFG,Food,72,"6,124.72","4,038.10","10,162.75","2,086.60",28.98,2026-03-25,199.42,2026-01-06,-61.61
CPN,Property,72,"16,606.76","14,535.97","31,142.84","2,070.80",28.76,2026-03-04,199.00,2026-03-10,-192.92
BTG,Food,72,"3,791.56","2,627.60","6,419.18","1,163.92",16.17,2026-03-27,236.97,2026-03-19,-70.01
IVL,Petro,72,"14,492.35","13,376.43","27,868.82","1,115.97",15.50,2026-03-30,367.49,2026-03-18,-254.15
WHA,Property,72,"10,248.61","9,156.64","19,405.16","1,092.00",15.17,2026-02-09,367.44,2026-03-10,-122.14
