sector,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-03-02,2026-03-04,2026-03-05,2026-03-06,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-16,2026-03-17,2026-03-18,2026-03-19,2026-03-20,2026-03-23,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-16,2026-04-17,2026-04-20,2026-04-21
Energy,503.14,"1,047.58",317.37,-100.95,572.11,516.19,406.95,"1,084.16",945.54,"1,009.94",287.69,300.79,"1,581.71","1,399.44","1,084.03","1,058.64","1,351.13","1,054.00",-338.40,334.09,"1,196.41",468.75,"1,727.74","2,123.44","1,796.48","2,337.09","1,767.47",920.41,"4,147.03","1,199.53",444.69,"1,136.64",71.46,"2,860.47",242.74,-320.98,"2,218.71",-118.59,"-1,051.77",671.78,"-2,543.40",746.86,-79.55,-587.38,-934.85,"-1,038.25",442.16,590.41,280.13,"-1,457.01","1,189.01",-663.53,"1,201.43",705.57,103.45,94.50,799.73,"1,773.18","1,786.76",-228.04,-87.42,616.56,891.73,-795.00,"1,755.23",857.18,756.74,124.39,718.54,"1,269.69","1,001.15",55.14
Property,129.86,-5.38,-6.02,-24.02,44.63,-125.87,-70.11,-67.19,29.27,64.49,79.73,349.68,334.93,212.49,-5.35,8.75,265.00,173.79,42.28,156.37,-96.60,26.48,54.12,187.84,44.47,987.12,196.44,202.33,336.30,333.18,-131.64,32.42,479.63,202.65,113.32,12.47,98.93,167.08,35.17,300.77,448.13,34.38,-116.19,-296.96,-28.60,-401.32,-333.92,-311.72,-302.70,18.99,-91.30,-35.72,-210.72,92.98,-79.14,-96.72,94.55,141.76,75.77,84.78,64.22,121.74,-1.57,50.62,59.04,263.05,-287.57,3.51,240.57,-61.41,56.68,113.95
Commerce,136.71,80.43,194.38,-240.80,53.23,44.73,228.07,117.71,277.41,17.33,764.56,587.29,194.71,261.43,286.04,264.93,391.77,24.69,320.55,468.14,271.25,837.80,24.78,617.17,259.78,458.45,399.25,-26.47,260.90,-175.71,6.88,235.68,299.57,-655.32,-379.83,-415.80,"1,119.08",129.24,847.63,120.79,5.55,-309.91,-969.96,-486.89,-137.50,-535.47,-398.35,-110.24,-186.77,-273.49,-57.33,-68.43,-620.26,-125.22,-448.86,151.53,-187.04,58.89,816.58,376.99,20.97,-179.92,-145.66,46.91,194.47,249.27,-49.00,-177.85,-307.50,-270.84,40.88,-166.36
Food,-82.07,40.92,116.77,-40.00,84.24,-113.32,34.69,124.42,154.81,117.27,159.98,39.66,88.97,-134.86,-99.30,-28.85,14.88,-114.11,-53.37,-35.70,-60.41,106.83,-105.00,81.82,91.50,356.38,3.75,160.49,243.62,121.33,-29.50,252.45,101.44,53.17,-139.12,107.11,157.33,288.95,372.42,-33.27,157.35,-163.39,-467.84,-80.53,138.80,-102.73,-244.89,53.46,-99.15,35.28,198.10,231.25,-357.68,198.36,-380.64,-177.09,266.45,246.27,649.30,136.83,251.55,119.19,361.64,-36.44,208.29,62.08,41.99,178.54,-75.69,-132.82,113.08,27.77
Petro,61.10,-22.24,595.30,-33.21,-40.85,-20.40,29.30,121.42,110.23,-87.77,24.43,101.93,202.90,169.85,4.28,124.11,81.31,163.20,79.61,67.40,84.31,-58.86,313.43,-66.63,35.25,107.85,103.03,-47.47,212.79,-87.50,-95.81,-110.98,-144.22,-26.87,-115.66,72.14,100.19,96.68,-129.77,106.20,127.94,-236.50,-190.19,188.75,-173.47,-215.20,-43.82,36.05,-281.44,40.98,243.94,-237.11,-194.84,36.42,-94.31,16.70,516.49,-36.76,286.05,333.36,233.97,821.66,-50.65,-1.97,346.24,83.78,148.49,-136.38,48.04,-257.80,-246.18,97.84
Etron,-257.89,"-1,528.58",-642.31,"-2,368.66",-56.14,29.45,83.78,21.57,258.89,113.93,131.62,-144.69,"1,199.02",-330.12,271.36,-237.43,"1,417.54",-398.41,187.00,380.23,300.36,-6.55,-4.74,-365.26,438.12,"1,511.81",-604.46,187.58,289.59,-486.77,298.52,124.37,49.13,894.45,-406.94,758.54,-309.56,"1,080.15",-406.21,151.72,899.68,791.31,-692.27,-861.64,-536.52,-856.38,-396.48,-340.51,-990.35,272.52,182.20,137.22,-232.37,-483.85,-491.20,6.22,"2,689.16","-1,297.25",-491.52,-923.21,"-1,294.20","1,059.73",644.13,-162.69,660.77,135.33,"2,823.53","1,982.64",-918.18,-9.44,139.00,183.89
Conmat,191.07,41.41,145.44,-119.51,-70.69,-27.77,43.04,78.01,-62.83,-153.01,-95.65,-118.12,46.95,81.41,-17.84,43.25,-45.91,-68.19,-242.42,-60.13,-19.62,-40.29,70.17,-30.95,562.84,17.52,167.37,111.10,113.49,-44.30,-173.15,-26.21,23.59,165.82,-94.95,64.33,357.70,583.94,-280.89,353.82,-166.10,-149.38,-186.64,3.65,-10.45,-195.12,-107.23,-125.57,-95.55,-7.75,265.55,-133.37,-123.03,1.99,-62.11,-69.99,232.87,-18.68,28.62,77.60,-140.87,197.22,54.51,123.03,98.21,118.71,-30.10,27.98,"1,345.83",319.27,295.94,-78.75
Helth,189.68,-42.28,226.45,-283.87,-170.20,-83.32,79.30,-150.17,-107.30,-81.43,312.52,663.76,496.48,"2,130.34",462.26,-132.46,-198.14,-87.27,-286.08,143.90,85.83,60.92,100.15,88.74,107.81,-385.13,119.46,-58.85,-16.74,-258.00,327.52,-149.12,-63.34,245.60,21.94,216.04,589.97,29.09,784.92,268.93,-204.96,561.74,-723.33,-33.72,100.94,-614.14,-513.13,-552.81,-541.81,-102.52,-503.31,-214.09,-364.42,-114.56,-359.46,-153.41,-127.70,-384.72,247.50,386.09,-193.28,252.66,202.36,-181.75,-41.39,450.09,-569.08,-116.80,143.31,11.48,-112.13,-110.04
Packaging,-1.91,12.31,39.98,-10.12,8.55,-1.38,31.51,38.57,208.33,26.68,116.58,63.52,88.26,64.32,13.92,34.85,6.77,27.77,-44.73,-3.46,13.96,2.82,42.10,-29.26,17.48,-11.32,-0.41,-10.82,15.25,-1.38,-11.10,-2.00,41.72,57.82,-76.70,36.49,-6.37,-10.00,-21.30,-17.59,-29.70,-30.15,-84.03,-14.61,-5.14,-33.93,-51.22,4.59,-54.26,-21.25,64.41,-90.28,-44.22,27.96,-24.50,-22.68,0.91,-38.87,7.92,52.00,-0.58,56.38,20.93,0.89,9.82,13.89,-43.38,98.19,10.38,38.92,-25.74,16.84
Cons,3.53,10.91,26.48,-13.15,6.30,-6.94,2.57,12.79,19.00,76.69,-20.90,34.79,37.44,-27.08,3.56,21.34,6.27,-0.16,-17.19,3.42,4.61,36.39,21.93,-11.29,-20.09,154.89,49.73,-7.09,30.89,-1.75,8.39,35.50,-23.19,22.58,61.08,47.00,328.03,-41.81,27.39,-19.62,176.78,-4.66,-138.65,-42.97,102.94,-7.61,-103.65,37.62,-102.90,-107.31,17.80,24.82,-227.76,-22.57,-28.70,-20.99,15.32,-29.04,-6.57,12.71,13.12,363.95,-64.28,-134.61,-65.13,33.32,-149.52,-64.38,44.85,-42.90,-41.78,38.00
Media,-10.47,-0.84,12.87,-13.34,-16.47,-13.04,5.70,35.34,5.98,-1.24,6.19,8.28,11.16,8.13,6.26,9.05,9.61,-0.42,-1.25,6.64,-4.69,25.41,-9.36,32.13,-11.19,45.26,79.36,-3.63,-33.48,61.22,-79.68,-1.31,49.17,0.92,30.85,71.62,18.09,-68.08,-30.06,71.33,31.20,23.96,-10.21,-3.56,36.78,-29.61,-4.59,0.57,-30.36,11.91,1.62,-47.16,0.62,23.42,-10.95,-7.71,-15.84,-6.46,0.08,0.07,-7.33,-15.98,-7.45,-14.28,-3.03,14.37,-24.10,-2.63,31.40,-2.28,0.37,-6.24
Person,-0.74,-0.85,-3.92,1.56,-2.27,-2.73,6.38,13.42,6.04,-3.23,-8.37,4.18,0.80,-0.30,13.52,-5.30,-1.51,-1.97,-0.53,7.52,8.15,2.89,6.39,-11.66,-1.85,-1.88,3.41,-2.05,7.81,-20.43,-23.60,-5.91,-7.14,-0.92,-6.39,0.11,-2.03,0.59,-1.17,1.41,6.40,-3.32,0.23,87.12,-25.47,-7.95,-9.83,-9.77,-9.15,-3.98,5.31,-3.20,-16.14,-22.03,-1.69,-14.06,-1.98,-5.86,74.92,33.54,39.29,31.56,52.65,-0.42,-3.75,0.35,1.27,4.74,-4.42,-2.71,-6.05,-0.06
