symbol,sector,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb,trading_days
PTTEP,Energy,"81,330.28","58,285.79","139,616.03","23,044.48",72
PTT,Energy,"101,391.55","87,389.55","188,781.08","14,001.96",72
BBL,Banking,"44,653.34","39,962.01","84,615.35","4,691.30",72
CPALL,Commerce,"42,226.66","37,993.04","80,219.73","4,233.55",72
TOP,Energy,"24,725.28","20,568.11","45,293.46","4,157.20",72
BCP,Energy,"9,728.81","6,252.56","15,981.32","3,476.25",72
KKP,Banking,"12,631.98","9,607.44","22,239.32","3,024.54",72
SCC,Conmat,"26,615.59","23,822.35","50,437.93","2,793.30",72
DELTA,Etron,"113,516.04","111,040.36","224,556.40","2,475.75",72
TTB,Banking,"21,836.42","19,609.73","41,446.15","2,226.73",72
