symbol,sector,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb,trading_days
SCB,Banking,"43,572.39","51,404.81","94,977.25","-7,832.40",72
TRUE,ICT,"94,090.37","96,101.01","190,191.42","-2,010.60",72
AOT,Trans,"44,840.17","46,590.72","91,430.93","-1,750.57",72
TISCO,Banking,"11,809.10","13,498.23","25,307.41","-1,689.11",72
ADVANC,ICT,"75,226.56","76,796.93","152,023.50","-1,570.39",72
KTB,Banking,"45,433.16","46,971.01","92,404.10","-1,537.81",72
TIDLOR,Finance,"5,490.48","6,619.44","12,109.89","-1,128.95",72
KBANK,Banking,"71,499.70","72,598.49","144,098.15","-1,098.80",72
COM7,Commerce,"7,932.77","8,829.75","16,762.56",-896.99,72
OR,Energy,"8,167.62","9,062.39","17,230.04",-894.77,72
