Symbol,Sector
ADVANC,ICT
AOT,Trans
AWC,Property
BANPU,Energy
BBL,Banking
BDMS,Helth
BEM,Trans
BH,Helth
BJC,Commerce
BTS,Trans
CBG,Food
CCET,Etron
CENTEL,Tourism
COM7,Commerce
CPALL,Commerce
CPF,Food
CPN,Property
CRC,Commerce
DELTA,Etron
EGCO,Energy
GPSC,Energy
GULF,Energy
HMPRO,Commerce
IVL,Petro
KBANK,Banking
KKP,Banking
KTB,Banking
KTC,Finance
LH,Property
MINT,Tourism
MTC,Finance
OR,Energy
OSP,Food
PTT,Energy
PTTEP,Energy
PTTGC,Petro
RATCH,Energy
SAWAD,Finance
SCB,Banking
SCC,Conmat
SCGP,Packaging
TCAP,Banking
TIDLOR,Finance
TISCO,Banking
TLI,Insurance
TOP,Energy
TRUE,ICT
TTB,Banking
TU,Food
WHA,Property
